anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14
181,4,5,4,0,5,4,4,5,4,5,4,4,0,4
182,5,5,4,4,4,4,4,5,4,5,4,4,3,4
183,5,5,4,5,5,4,4,5,4,5,4,4,3,4
184,5,5,0,5,5,4,4,5,4,5,4,4,3,0
185,5,5,4,3,5,4,4,5,4,5,0,4,3,4
186,5,5,4,5,5,4,0,5,4,5,4,4,3,4
187,4,0,4,0,4,4,4,5,3,5,4,4,3,4
188,5,5,0,5,4,4,4,5,4,5,4,4,3,4
189,4,0,3,5,5,4,4,5,4,0,4,4,3,4
190,5,4,4,5,5,4,4,5,4,5,4,4,3,4
191,5,5,4,4,5,4,0,5,4,4,4,0,2,4
192,5,0,4,5,5,4,4,4,4,5,4,4,0,4
193,4,5,0,3,5,4,4,5,4,5,4,4,3,4
194,5,5,4,5,5,4,4,5,4,5,4,4,3,4
195,5,5,4,4,5,4,4,5,4,5,4,4,3,4
196,5,5,4,0,5,4,4,5,4,5,3,4,3,3
197,5,5,4,4,3,4,3,5,4,5,4,4,3,4
198,5,5,4,5,5,4,4,5,0,5,4,4,3,4
199,5,5,4,5,3,4,4,5,4,5,4,4,3,4
200,5,5,3,4,5,4,4,5,4,5,4,4,3,4
201,5,5,4,4,5,4,4,5,4,5,4,4,3,4
202,4,5,4,5,5,4,4,5,4,4,0,4,3,4
203,5,5,3,3,0,4,4,5,4,5,4,3,3,4
204,5,5,4,5,5,4,4,5,4,5,4,4,3,4
205,5,5,4,5,4,4,4,5,4,5,4,4,3,4
206,5,5,4,4,5,4,4,5,4,5,4,4,3,0
207,4,0,4,3,5,4,4,4,4,0,4,4,0,4
208,5,5,4,5,5,0,4,5,4,5,4,4,0,4
209,5,5,4,4,5,4,3,5,4,5,4,4,3,4
210,5,5,0,5,5,0,4,5,4,5,3,4,3,4
211,4,5,4,4,5,4,4,5,3,5,0,3,3,4
212,5,5,4,5,5,3,3,5,4,5,4,4,3,4
213,5,5,4,5,5,4,4,5,4,5,4,4,3,4
214,5,5,4,4,5,4,4,5,4,5,4,4,3,3
215,5,5,4,5,5,4,4,5,4,5,4,4,3,4
216,5,5,4,5,5,4,4,5,4,5,4,4,3,4
217,5,5,4,4,5,4,4,5,4,5,4,4,3,4
218,3,5,4,3,3,4,4,5,0,5,4,4,3,4
219,5,5,4,3,5,4,4,5,4,5,4,4,3,4
220,5,5,4,5,5,4,4,5,4,5,4,4,0,4
221,5,5,4,5,5,4,4,5,4,5,4,4,3,4
222,5,5,4,5,5,4,3,5,4,5,4,4,3,4
223,5,5,4,5,5,4,4,5,4,5,4,4,3,4
224,5,5,4,5,5,4,4,5,4,5,4,4,3,4
225,5,5,4,5,5,3,4,5,4,5,4,0,3,4
226,5,5,4,5,5,4,3,5,0,5,4,4,3,4
227,4,5,4,5,5,4,4,5,4,5,4,4,3,4
228,4,5,4,3,4,4,4,5,4,5,4,4,3,4
229,4,4,3,4,3,4,4,5,4,5,4,3,3,3
230,4,4,3,3,5,4,4,5,4,5,4,4,3,4
231,4,5,4,5,5,4,4,5,3,5,2,4,3,0
232,5,5,4,4,5,4,4,5,4,5,4,4,3,4
233,4,5,4,5,0,4,4,5,4,5,4,4,3,4
234,5,5,4,5,5,4,0,5,4,5,4,4,3,4
235,4,0,4,0,5,4,0,5,3,0,4,4,3,4
236,5,5,0,4,4,4,4,5,4,4,4,3,3,4
237,0,0,0,0,4,4,0,5,0,5,0,3,0,4
238,5,0,4,0,5,4,4,5,0,5,0,0,3,4
239,5,5,4,5,5,4,0,5,4,5,4,4,3,4
240,5,5,4,5,5,4,0,5,4,0,4,4,3,4
241,5,5,4,5,5,4,4,5,4,5,4,4,3,4
242,5,5,4,4,5,4,4,5,4,5,3,4,3,4
243,0,0,0,3,0,0,4,5,3,5,4,0,3,3
244,5,0,4,5,5,0,0,5,4,5,0,4,3,4
245,4,5,3,2,3,0,2,5,4,5,4,0,3,4
246,0,5,4,5,5,4,4,5,4,5,4,0,3,4
247,4,5,4,0,5,4,4,5,4,5,4,4,3,4
248,5,5,4,5,5,4,4,5,4,5,4,4,3,4
249,0,5,4,2,5,4,4,5,4,0,4,4,3,4
250,4,5,3,5,5,4,4,5,0,5,4,4,3,4
251,4,5,4,5,3,0,0,5,0,5,2,2,3,0
252,5,5,3,0,5,4,0,5,0,5,0,4,0,4
253,5,0,4,0,4,4,4,5,4,5,4,4,3,4
254,5,5,2,3,5,0,4,5,4,5,4,3,3,0
255,5,5,4,4,3,4,4,5,2,5,4,3,3,4
256,5,5,4,4,5,4,4,5,4,5,4,4,3,4
257,5,0,4,5,5,4,2,5,4,5,4,4,3,4
258,3,5,4,3,4,4,4,5,4,5,4,4,3,4
259,5,5,4,3,5,4,0,5,0,5,0,4,3,2
260,5,5,4,5,5,4,4,5,4,5,4,4,3,4
261,5,5,4,3,5,4,4,5,4,5,4,4,3,4
262,5,5,3,4,4,4,3,5,4,5,4,4,3,4
263,5,5,4,5,5,4,2,5,4,5,4,4,3,4
264,4,4,0,4,5,4,4,5,4,5,4,4,3,4
265,5,5,4,5,5,4,4,5,4,5,4,4,3,4
266,4,5,3,3,4,4,0,5,4,5,4,4,3,4
267,4,4,0,4,3,0,3,5,0,4,0,0,3,2
268,5,5,4,5,5,3,4,5,4,5,4,0,3,4
269,4,5,4,4,5,4,4,5,4,4,4,4,3,4
270,3,5,3,4,5,4,4,5,4,5,4,4,0,4
271,5,5,4,5,5,4,4,0,4,5,3,4,3,4
272,5,5,4,5,5,4,4,5,4,5,4,4,3,4
273,4,5,3,4,3,3,3,5,4,4,4,4,3,4
274,4,5,4,4,5,4,4,5,4,5,4,4,3,4
275,5,0,4,4,5,4,4,5,4,5,4,4,3,4
276,5,5,4,5,5,4,4,5,4,5,4,4,3,4
277,3,5,4,4,4,4,4,5,4,5,4,4,3,0
278,0,0,0,0,0,4,4,4,4,5,4,4,3,4
279,5,0,4,4,0,4,2,4,0,0,0,0,3,0
280,5,5,4,3,4,4,4,5,4,5,4,4,0,4
281,5,5,4,4,5,4,4,5,4,5,4,4,3,4
282,4,5,0,0,0,0,0,0,0,5,0,4,3,4
283,4,5,4,3,1,4,3,5,4,5,4,4,3,0
284,4,5,0,5,5,0,4,5,4,5,0,4,3,4
285,5,5,4,5,5,4,4,5,4,5,4,0,3,4
286,4,0,0,0,3,4,1,5,4,4,3,2,3,4
287,4,5,4,4,5,4,3,5,4,4,4,4,3,4
288,5,4,3,5,0,0,0,0,4,5,4,0,3,4
289,0,0,4,5,5,4,0,0,4,5,4,4,3,4
290,0,0,4,4,5,3,0,5,4,0,3,4,3,0
291,3,5,0,3,5,4,4,5,4,5,4,4,3,4
292,4,5,3,4,4,4,4,5,4,4,4,3,3,4
293,5,5,0,5,5,4,4,4,4,5,4,4,3,4
294,3,5,4,5,3,4,4,5,4,5,4,4,3,4
295,5,5,4,3,5,0,4,5,4,5,4,4,3,0
296,5,5,4,5,5,4,4,5,4,5,4,4,3,4
297,4,5,4,5,5,4,0,5,4,5,4,4,3,0
298,4,5,4,5,5,4,4,5,4,5,4,4,3,4
299,5,5,4,5,5,4,4,5,4,5,4,0,3,4
300,0,5,4,4,5,4,4,5,4,5,4,4,3,4
301,5,4,4,0,3,2,4,0,4,0,0,4,3,3
302,0,5,4,5,5,4,0,0,0,5,4,4,0,0
303,5,0,4,0,0,3,0,0,0,4,0,3,0,4
304,5,5,4,5,5,4,4,5,4,5,4,4,3,4
305,4,5,4,3,5,3,4,5,4,5,4,4,3,4
306,5,5,4,5,5,4,4,5,4,5,4,4,3,4
307,4,5,4,4,3,4,4,5,4,5,4,4,3,4
308,3,5,4,4,5,3,4,0,3,5,0,4,3,4
309,5,0,0,4,5,4,0,0,4,0,0,0,3,4
310,5,5,4,5,5,4,4,5,0,5,4,4,3,4
311,0,5,4,5,5,4,4,5,4,5,4,4,3,4
312,5,5,3,4,4,0,4,5,4,5,4,4,3,4
313,5,5,4,3,3,3,3,4,4,5,3,4,2,4
314,4,5,4,3,4,4,4,5,4,5,4,4,3,0
315,0,0,0,5,5,0,4,5,0,5,0,4,3,4
316,3,4,4,3,3,4,4,4,4,5,4,4,3,0
317,3,4,4,3,3,4,4,5,4,5,4,4,3,4
318,5,5,4,5,5,4,4,5,4,5,4,4,3,4
319,5,5,3,4,4,4,4,5,3,4,3,3,3,4
320,5,4,3,2,5,4,4,5,3,5,4,4,3,4
321,5,5,4,5,4,4,4,5,3,5,4,4,3,4
322,5,5,4,0,5,4,2,5,4,5,3,0,0,4
323,5,0,4,3,5,0,4,5,4,5,4,4,3,4
324,4,0,4,4,3,4,4,4,0,4,3,4,3,4
325,5,4,0,4,3,4,3,5,0,5,0,4,3,0
326,5,5,3,4,5,4,3,5,4,5,4,4,3,4
327,5,5,3,3,5,4,4,5,3,0,4,3,3,0
328,5,5,4,5,5,4,3,5,4,0,4,4,0,4
329,5,5,4,0,5,4,4,5,4,5,4,4,3,4
330,0,5,4,4,5,4,0,5,4,5,4,4,3,4
331,4,5,4,5,4,4,3,5,4,5,4,4,3,4
332,0,5,3,3,3,4,0,5,0,4,0,3,3,4
333,5,5,4,5,4,4,4,5,4,5,4,4,3,0
334,5,5,4,4,3,0,3,5,3,4,4,0,0,0
335,0,5,4,5,5,4,3,4,0,5,4,4,0,4
336,5,5,4,5,5,4,3,5,4,5,4,4,3,4
337,4,5,3,3,4,4,4,4,4,4,4,4,3,3
338,5,5,3,4,5,4,4,5,4,4,4,4,3,0
339,4,0,2,4,0,4,0,0,4,5,4,2,2,4
340,5,5,4,4,5,4,4,5,4,5,4,4,3,4
341,0,5,4,0,4,4,3,5,4,5,0,4,3,4
342,0,5,4,3,5,4,0,5,4,0,4,4,3,4
343,5,5,4,5,5,4,4,5,4,5,4,4,0,4
344,5,5,4,4,5,4,0,5,2,5,4,0,2,4
345,5,5,2,3,2,4,4,3,4,5,4,4,3,4
346,4,5,4,3,3,3,0,0,4,0,0,3,3,0
347,0,4,2,3,3,4,0,0,0,0,0,4,0,2
348,5,5,4,3,5,4,4,5,3,4,4,4,3,4
349,5,4,4,5,5,4,3,5,3,5,4,4,3,4
350,4,5,3,3,0,4,4,4,4,5,4,4,3,4
351,5,5,2,3,3,0,4,5,4,5,4,4,3,4
352,4,4,3,3,0,0,4,5,4,4,0,4,3,0
353,5,5,2,4,5,4,4,5,4,5,4,4,3,4
354,0,3,4,3,5,4,4,5,0,5,4,4,3,3
355,5,5,4,5,5,4,4,5,4,5,4,4,3,4
356,5,4,3,3,5,3,2,5,4,5,4,4,3,4
357,5,5,4,5,5,3,4,5,4,5,4,0,3,3
358,4,5,4,5,5,4,4,5,4,5,4,4,3,4
359,5,5,4,5,5,4,4,5,4,5,4,4,3,4
360,5,0,4,5,5,4,4,5,4,5,4,4,3,2
361,0,5,4,5,0,4,3,2,4,5,0,4,3,4
362,5,5,4,0,3,4,2,4,0,5,3,4,3,4
363,5,5,3,5,3,4,2,4,2,5,4,4,3,4
364,4,5,3,3,3,4,4,5,3,5,4,4,3,4
365,3,4,4,1,3,3,3,3,2,4,3,3,3,3
366,5,5,4,4,5,4,3,4,3,5,4,4,3,4
367,0,5,0,2,5,4,0,5,0,4,0,3,2,0
368,5,0,0,2,1,3,3,0,2,0,0,3,3,4
369,5,5,4,5,5,4,4,5,4,5,4,4,3,0
370,4,5,3,5,0,0,0,5,4,0,4,4,2,4
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,4,4,0,2,3,1,0,4,4,0,0,0
373,5,5,3,4,5,4,3,5,0,0,0,0,0,0
