pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,avg_week1,avg_week2,avg_week3,avg_week4
A10814282,167,0.5,1,0,0.5,0,0.5,1,1,1.000000000,1.000000000,1.000000000,0.75,0.166666667,0.5,1
A99405998,168,0.75,1,1,0.5,1,0,0.666666667,1,1.000000000,1.000000000,0.000000000,0.875,0.833333333,0,0.833333334
A10907284,169,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10483254,170,1,1,1,0.75,1,0,1,1,1.000000000,0.000000000,1.000000000,1,0.916666667,0,1
A98115705,171,1,1,1,1,1,1,0,1,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A10658092,172,1,1,0.333333333,0.75,1,0.5,1,1,1.000000000,1.000000000,1.000000000,1,0.694444444,0.5,1
A11649142,173,1,1,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,1,1,0,1
A11552592,174,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10608997,175,0,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.5,1,1,1
A99109363,176,1,1,1,1,1,1,1,0,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A11327834,177,0.75,1,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,0.875,1,0,1
A11363012,178,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11442447,179,1,1,1,1,1,1,1,1,1.000000000,1.000000000,0.000000000,1,1,1,1
A11838573,180,1,0.8,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.9,1,1,1
A11011534,181,1,1,1,1,1,0,1,1,1.000000000,1.000000000,0.000000000,1,1,0,1
A10063095,182,1,1,1,1,0.666666667,1,1,1,1.000000000,1.000000000,0.000000000,1,0.888888889,1,1
A12457646,183,0.75,1,1,1,0,0.75,1,1,1.000000000,1.000000000,1.000000000,0.875,0.666666667,0.75,1
A10556101,184,1,0.8,1,1,1,1,1,1,0.666666667,1.000000000,1.000000000,0.9,1,1,1
A97064470,185,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A97411802,186,0,0.8,1,0.75,0,1,1,1,1.000000000,1.000000000,1.000000000,0.4,0.583333333,1,1
A10762727,187,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11052076,188,1,1,1,1,1,1,1,0,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A99055960,189,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A99103256,190,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
