anid,remote,a0w1,a1w3,a2w5,a3w7,a4w10
142,#86277ADB,1,0.68,0,0,0.74
143,#899F9E88,1,0.96,0.8,0.8,0.62
140,#95A9625E,1,0.92,0.86,0.12,0.58
141,#8AD7530E,1,1,0.8,0.8,0.4
148,#863CCE74,1,0.72,0.72,1,0.68
149,#84A34760,1,1,1,0.18,0
77,#92ED8EF1,1,1,1,0.64,0.44
76,#26B223B7,1,0.76,0.88,0.76,0.16
75,#86219631,1,0.56,0.84,0.2,0.5
74,#90D4DB9F,1,1,0.94,0.92,0.24
73,#8F2B9236,1,0.88,0.96,0.96,0.86
72,#974B8A56,1,0.94,0.74,0.16,0.32
71,#8474D828,1,0.56,0.88,0.84,0.36
70,#8E7605FD,1,1,0.94,0.96,0.92
79,#8E01B837,1,0.78,0.98,0.34,0.72
78,#83B36252,1,0.92,0.96,0.84,0.92
