anid,cse5a,cse12,cse21,cse30,cse15l,math154,math184a,mae9,ece15
109,#N/A,B+ ,A  ,#N/A,B+ ,#N/A,#N/A,#N/A,#N/A
110,B  ,A  ,B  ,A- ,B  ,#N/A,#N/A,#N/A,#N/A
111,#N/A,B+ ,B  ,#N/A,#N/A,B  ,#N/A,#N/A,C- 
112,#N/A,B- ,A  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A
113,#N/A,B+ ,A  ,C  ,A- ,#N/A,#N/A,#N/A,#N/A
114,#N/A,C+ ,A- ,A- ,B  ,#N/A,#N/A,#N/A,C  
115,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
116,#N/A,B- ,B  ,A- ,C+ ,#N/A,#N/A,#N/A,#N/A
117,#N/A,A  ,A- ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
118,#N/A,B  ,B+ ,B  ,C  ,#N/A,#N/A,#N/A,B- 
119,#N/A,B  ,B+ ,B- ,A  ,#N/A,#N/A,A- ,#N/A
120,#N/A,B  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
121,#N/A,C+ ,A  ,B- ,#N/A,#N/A,#N/A,#N/A,#N/A
122,#N/A,B+ ,A  ,C  ,C+ ,#N/A,#N/A,#N/A,#N/A
123,#N/A,A  ,A  ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
124,#N/A,C+ ,B- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
125,#N/A,A  ,A  ,B+ ,A- ,#N/A,#N/A,#N/A,#N/A
126,#N/A,#N/A,C  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
127,#N/A,B+ ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
128,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
129,#N/A,B+ ,A+ ,C  ,C  ,D  ,W  ,#N/A,#N/A
130,#N/A,B  ,A  ,B+ ,A- ,#N/A,#N/A,#N/A,#N/A
131,#N/A,A  ,B+ ,C+ ,A  ,A  ,B- ,#N/A,A- 
132,#N/A,A- ,B+ ,A- ,A  ,#N/A,#N/A,#N/A,A+ 
133,#N/A,A- ,A  ,A  ,B  ,#N/A,#N/A,#N/A,#N/A
134,#N/A,B- ,A  ,C- ,B  ,#N/A,#N/A,#N/A,#N/A
135,B  ,B  ,C+ ,F  ,B+ ,#N/A,#N/A,#N/A,#N/A
136,#N/A,B- ,#N/A,B  ,A  ,F  ,B- ,#N/A,#N/A
137,#N/A,B  ,A- ,B+ ,B+ ,#N/A,#N/A,#N/A,C+ 
138,#N/A,C- ,C  ,C- ,C+ ,#N/A,#N/A,#N/A,#N/A
139,#N/A,D  ,D  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
140,#N/A,C- ,B+ ,B+ ,C+ ,#N/A,#N/A,#N/A,#N/A
141,#N/A,B  ,B+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
142,#N/A,B- ,A+ ,#N/A,B- ,#N/A,#N/A,A  ,A- 
143,#N/A,#N/A,D  ,B  ,A- ,#N/A,#N/A,#N/A,#N/A
144,#N/A,#N/A,B  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
145,#N/A,P  ,A+ ,#N/A,A  ,#N/A,#N/A,#N/A,B  
146,#N/A,B  ,A  ,A  ,B  ,#N/A,#N/A,#N/A,#N/A
147,#N/A,A  ,A+ ,#N/A,#N/A,#N/A,#N/A,#N/A,C  
148,#N/A,B- ,A- ,B  ,C  ,#N/A,#N/A,#N/A,#N/A
149,B  ,B+ ,A  ,B- ,A  ,#N/A,#N/A,#N/A,#N/A
150,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
151,#N/A,B  ,C  ,B- ,B+ ,#N/A,#N/A,#N/A,#N/A
152,#N/A,A+ ,A+ ,A+ ,A  ,#N/A,#N/A,#N/A,#N/A
153,#N/A,B- ,B+ ,B  ,B+ ,#N/A,#N/A,#N/A,#N/A
154,#N/A,W  ,A  ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
155,#N/A,B+ ,C+ ,C  ,B  ,#N/A,#N/A,#N/A,#N/A
156,#N/A,#N/A,#N/A,C  ,#N/A,#N/A,#N/A,#N/A,#N/A
157,#N/A,A- ,A  ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
158,#N/A,B- ,A- ,C- ,B- ,#N/A,#N/A,#N/A,#N/A
159,#N/A,C+ ,B- ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
160,#N/A,B+ ,B  ,A  ,B  ,#N/A,#N/A,#N/A,#N/A
161,#N/A,A+ ,A  ,A  ,A  ,#N/A,#N/A,#N/A,A- 
162,#N/A,C  ,B  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
163,#N/A,A  ,A  ,A  ,B  ,#N/A,#N/A,#N/A,#N/A
164,#N/A,C- ,A+ ,A- ,C  ,#N/A,#N/A,#N/A,#N/A
165,#N/A,D  ,A  ,A- ,C  ,#N/A,#N/A,#N/A,#N/A
166,#N/A,D  ,B  ,B- ,B  ,#N/A,#N/A,#N/A,#N/A
167,#N/A,A- ,A- ,B- ,C+ ,#N/A,#N/A,#N/A,#N/A
168,#N/A,B  ,C  ,C+ ,B  ,#N/A,#N/A,#N/A,#N/A
169,#N/A,B- ,B  ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
170,#N/A,B  ,A  ,A- ,A- ,#N/A,#N/A,#N/A,#N/A
171,#N/A,A- ,A  ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
172,#N/A,C- ,B  ,C- ,B  ,#N/A,#N/A,#N/A,#N/A
173,#N/A,A  ,A  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
174,#N/A,B  ,B  ,B- ,B- ,#N/A,#N/A,#N/A,#N/A
175,#N/A,B  ,B- ,B+ ,B+ ,#N/A,#N/A,#N/A,#N/A
176,#N/A,B- ,A+ ,A+ ,A+ ,#N/A,#N/A,#N/A,#N/A
177,#N/A,A  ,B- ,C  ,B+ ,#N/A,#N/A,#N/A,#N/A
178,#N/A,A- ,B- ,#N/A,B+ ,#N/A,#N/A,#N/A,#N/A
179,#N/A,B  ,B- ,C  ,B+ ,#N/A,#N/A,#N/A,#N/A
180,#N/A,W  ,A- ,#N/A,C  ,#N/A,#N/A,#N/A,P  
181,#N/A,B  ,C  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
182,#N/A,A  ,A+ ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
183,#N/A,#N/A,A  ,#N/A,A+ ,#N/A,#N/A,#N/A,#N/A
184,#N/A,B+ ,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
185,#N/A,A+ ,B+ ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
186,#N/A,#N/A,C+ ,#N/A,P  ,#N/A,C  ,#N/A,#N/A
187,#N/A,A- ,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
188,#N/A,A  ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,A  
189,#N/A,A  ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
190,#N/A,A  ,A  ,A+ ,A  ,#N/A,#N/A,#N/A,#N/A
