anid,remote,a1,a2,a3,a4,a5,a6
121,#82AD3817,0.98,1,1,0.975,1,0.8
26,#8FA2624F,0.76,0.88,0.82,0.975,0.98,0.8
148,#97C8F7A8,0.98,1,0.88,0.825,0.96,0.95
12,#8E94F0EA,1,0.96,0.72,0.975,0.94,1
205,#8E032AA7,0.92,0.92,0.9,0.725,0.94,0.55
49,#8A2CA107,0.78,0.9,0.85,0.9,0.65,
223,#98304EE6,0.86,0.76,0.94,0.975,0.66,0.75
41,#858D727A,0.72,0.92,0.82,0.75,0.8,0.85
251,"['#005CD985', '#05CD985']",0.96,1,0.82,0.975,0.92,0.9
111,#974816C9,1,0.96,0.9,0.86,0.95,
119,#84712EDB,0.94,1,0.88,1,0.76,0.65
191,#3A62CB93,0.84,1,0.86,0.975,0.8,
37,#847C9B63,0.98,1,1,0.975,1,1
246,#85B5E7D7,1,0.86,0.675,0.94,0.4,
17,#930E61FC,0.92,0.92,0.6,0.875,0.8,0.65
235,#8549CD01,0.86,1,0.9,0.975,0.86,0.8
217,#8DD1570B,0.94,0.72,0.625,0.78,0.8,
166,#1DF7FE14,0.94,1,0.9,0.975,0.98,0.95
328,#848EB5BF,0.86,0.92,0.425,0.5,,
194,#8E0CEE6C,0.64,0.85,0.76,0.8,,
42,#85722FD8,0.96,0.96,0.86,0.975,0.66,0.75
214,#84310FBA,0.88,1,0.78,0.975,0.66,0.2
310,#84EBF09F,0.78,0.92,0.84,0.75,0.86,0.85
261,#8FAAF2D7,0.92,0.94,0.84,0.66,0.85,
78,#8E13E27F,0.9,1,0.88,1,0.9,0.85
73,#913A06AD,1,1,1,1,0.96,0.9
59,#8A7906F5,0.96,1,1,0.875,0.84,1
2,#9748AF70,1,1,0.86,0.925,0.94,0.95
131,#864078BE,0.92,1,0.9,0.925,0.92,0.85
272,#9A950F00,0.8,0.9,0.86,0.775,0.84,1
35,#8E1969FE,1,1,0.96,0.975,0.96,0.95
173,#84349828,0.92,1,0.94,0.95,0.46,0.95
11,#37FF4F87,0.84,0.94,0.725,1,0.95,
257,#1C4B7225,0.92,1,0.78,0.725,0.92,0.5
61,#96D987C8,0.82,0.84,0.96,0.625,0.94,0.8
157,#8B070B87,0.86,0.92,0.875,1,0.75,
36,#822B75DC,1,1,0.96,0.975,0.74,0.95
237,#845F479C,0.88,1,0.98,0.825,0.76,0.9
100,#9D4DBF6F,1,0.95,0.86,0.85,,
274,#83049B1C,1,0.94,0.94,0.925,0.98,0.9
6,#8E6C6B89,1,1,0.98,0.95,0.96,0.85
10,#8E395EE9,0.96,0.9,0.84,0.875,0.86,0.85
264,#9740D304,0.86,1,0.8,0.86,0.75,
180,#85BCF8C1,0.98,0.9,0.7,0.825,0.88,0.8
286,#8560C025,0.94,0.9,0.86,0.975,0.48,0.3
63,#96B193B4,0.84,0.96,1,0.675,0.92,0.8
34,#8FBB6155,0.92,1,0.82,0.825,0.92,0.85
230,#84290CA1,1,1,0.92,0.975,0.76,0.95
220,#9A4D8D5A,0.9,1,0.92,0.775,0.92,1
66,#86017AFD,1,1,0.96,1,1,0.95
161,#88D8FCAC,1,0.96,0.72,0.775,0.68,1
226,#8E12910D,0.92,1,0.94,0.975,1,0.9
225,#9609FF60,0.86,1,0.9,0.925,0.9,0.85
335,#862B04A9,0.68,0.92,0.68,0.6,0.65,
62,#8E77B44D,0.88,1,1,0.975,1,1
4,#8A2C45E3,0.96,0.98,0.9,0.8,0.9,
45,#84505387,1,1,0.9,0.975,0.86,0.95
218,#383B1C1F,0.94,0.8,0.84,0.92,0.85,
322,#90D493D7,0.92,1,0.76,0.9,0.3,
277,#82527AAA,0.66,0.62,0.9,0.72,0.65,
21,#8E5BE633,1,1,1,0.975,1,0.9
252,#8E778871,0.9,0.96,0.98,0.75,0.5,0.65
231,#8EDC5B09,0.96,1,0.82,0.975,0.86,0.75
179,"['#08D98657', '#8D98657']",0.86,0.96,0.94,0.875,0.72,0.8
296,#862F339A,0.76,0.84,0.84,0.725,0.64,0.5
254,#83018301,1,1,0.88,0.8,,
155,#8891839A,0.76,0.98,0.82,0.95,0.62,0.7
48,#82518350,1,0.98,0.85,0.92,0.45,
139,#8940FE37,0.54,0.9,0.92,0.625,0.8,0.4
