anid,remote,a1,a2,a3,a4,a5,a6
133,#89007AF3,0.656,0.972,0.763,0.871,0.783,0.533
223,#9A3C68CE,0.875,1.0,0.943,0.583
105,#91707A9B,0.781,0.833,0.89,1.0,0.767,0.833
86,#8FAE7455,0.875,1.0,0.917,0.929,0.467,0.483
15,#9AA58EB1,0.938,1.0,1.0,1.0,1.0,1.0
167,#9A974F42,0.906,1.0,0.81,1.0,0.933,1.0
84,#9A965458,0.938,0.917,0.907,0.986,0.9,0.908
69,#97C15C0A,0.969,1.0,1.0,0.733,0.9
39,#9B9E4144,0.844,1.0,0.867,0.929,0.917,0.9
148,#8E1540DB,0.813,1.0,0.943,0.9,0.817
181,#8E8F1A1B,0.656,0.889,0.743,0.886,0.683,0.967
160,#9AA3F4CD,0.906,1.0,1.0,0.957,0.933
187,#9D7300EE,0.969,0.694,0.96,1.0,0.767,0.683
260,#9F2E2697,0.438,0.528,0.086,0.967
64,#8E6F2ECF,0.906,1.0,0.923,0.886,0.883
26,#8E1656CE,0.844,0.944,1.0,0.943,0.967,1.0
88,#96A7CFFE,0.781,1.0,0.983,1.0,0.95,0.867
197,#9A8CB0A6,0.813,0.778,0.547,0.871,0.65
25,#85D0A9FC,0.969,0.889,0.94,0.871,0.933,0.933
80,#96B34E6B,0.906,1.0,0.757,0.717,0.7
225,#97C94719,0.813,0.778,0.957,0.886,0.5
258,#8E87F0F9,1.0,1.0,0.957,1.0,1.0,0.967
259,#973661C0,0.875,0.667,0.5,0.517,0.283
150,#997ED93E,0.969,0.861,0.617,0.971,0.267,0.95
143,#8552E136,0.875,1.0,0.923,0.829,0.817,0.883
256,#9322E958,0.969,1.0,0.973,1.0,1.0,0.883
68,#998D9480,0.969,0.917,0.87,0.886,0.8,0.833
20,#97C90D53,0.875,0.917,0.99,0.971,0.967,0.992
52,#916A847F,0.969,0.944,0.89,0.957,0.817,0.933
2,#9AA57B44,0.969,1.0,1.0,0.914,1.0,0.842
201,#9AD52768,0.938,1.0,0.807,0.971,0.8,0.942
11,#9883C0DB,1.0,1.0,0.99,1.0,0.967,0.958
171,#8E126FF3,0.844,1.0,0.9,0.871,0.908
195,#8E6D9C7F,0.813,0.694,0.829,0.617,0.933
244,#9934D07D,0.906,1.0,0.74,0.657,0.533
222,#908C2834,0.906,1.0,0.833,0.743,0.75,0.842
22,#8F5130EE,0.969,1.0,0.99,0.971,0.933,0.95
157,#930531A7,0.969,0.667,0.7,0.733,0.667
6,#97C8F6A9,0.906,1.0,0.99,0.943,0.917,0.967
243,#850DA129,0.594,1.0,0.467,0.771,0.7,0.783
72,#89BC0E3B,0.938,1.0,0.917,0.857,0.933,0.867
226,#8E6AEB0F,0.5,0.861,0.69,0.943,0.95,0.933
240,#8D81070B,0.844,0.833,0.85,1.0,0.85,0.925
90,#8FA4FCD7,0.969,0.889,0.89,1.0,0.967,0.808
205,#9AD7ABE6,0.906,1.0,0.807,0.8,0.667,0.842
153,#885B30E3,0.969,1.0,0.937,1.0,0.983,0.967
224,#8295A7B0,0.875,1.0,0.76,0.971,0.817,0.858
31,#8DB3033D,0.969,0.944,0.893,0.914,0.917,0.9
53,#96D5EAA9,0.938,1.0,0.867,1.0,0.917,0.933
246,#9996E2ED,0.688,0.667,0.757,0.714,0.467
215,#9AA27C44,0.844,1.0,0.84,0.771,0.983,0.967
120,#A22455D3,0.906,1.0,0.957,1.0,0.933,0.967
82,#9ADC5B1D,0.969,0.889,0.923,1.0,0.95,0.833
111,#913908A0,0.938,1.0,0.917,0.971,0.95,0.967
132,#9DB2E8C7,0.969,1.0,0.99,0.943,0.883
196,#A2379E0B,0.75,0.889,0.94,0.786,0.667
162,#9161A757,0.656,0.75,0.797,0.857,0.683,0.417
168,#99357ED2,0.938,0.889,0.817,0.7,0.775
220,#917358BA,0.531,0.778,0.58,0.886,0.883,0.95
7,#A2547482,0.875,1.0,0.967,1.0,1.0,1.0
60,#8E1676EE,0.813,1.0,0.973,0.971,0.867,1.0
176,#9A52E72F,0.844,1.0,1.0,0.967,1.0
172,#8391B5A7,0.938,1.0,0.89,0.729,0.917,0.833
65,#99896979,0.906,1.0,0.913,0.971,0.883,0.875
193,#9D380FAA,0.969,1.0,0.99,1.0,0.967
27,#9A2F2B9E,0.969,1.0,0.99,0.957,0.967,1.0
78,#9AD0450F,0.719,1.0,0.927,0.971,0.9,0.817
66,#9B9D8E88,0.969,1.0,0.777,0.943,0.933,0.908
251,#969F1F16,0.875,0.889,0.714,0.617,0.833
264,#111CEDE
1,#9A95838C,0.969,0.806,0.917,0.914,0.967,0.958
43,#908D908D,0.969,0.722,0.937,0.971,0.8,0.883
74,#98F5D9B4,0.969,1.0,0.99,0.986,0.983,0.967
37,#8E16FC64,0.844,1.0,0.94,1.0,0.967,1.0
242,#9B5126EC,0.938,1.0,0.83,0.943,0.867
180,#8FC9DC9A,0.719,0.556,0.843,0.683,0.75
219,"['#83B73B0F', '#9A45F02F']",0.875,1.0,0.797,0.886,0.85,0.858
213,#85AC163F,0.944,0.813,0.771,0.8,0.783
136,#96AEF3CB,0.906,0.972,0.9,1.0,0.833,0.95
227,#9AAE497D,0.833,0.843
122,#9831AF06,0.969,1.0,0.9,0.914,0.95,0.9
123,#83B2E9D8,0.969,0.944,0.99,1.0,1.0,0.883
253,#98FABDDF,0.944,0.71,0.814,0.7,0.667
119,#95F2E186,0.969,1.0,1.0,0.867,0.808
99,#85A59ABA,0.969,1.0,0.94,0.929,0.967,1.0
261,#858DD9D1,0.844,1.0,0.723,0.7,0.883,0.95
156,"['#A595B080', '#97C53567']",0.719,0.861,0.817,0.957,0.917,0.792
138,#97C8A3FC,0.813,1.0,0.797,0.871,0.717,0.733
233,#9A974D40,0.813,1.0,0.92,0.871,0.9
209,#8289979C,0.875,1.0,0.88,0.914,0.8,0.925
184,#82C9ACE7,0.813,1.0,0.99,1.0,0.95,0.967
221,#9AAE4773,0.719,0.833,0.807,0.943,0.733,0.883
135,#96A792A3,0.875,0.889,0.727,0.757,0.883,0.867
229,#830052D1,0.813,1.0,0.886,0.717
23,#98F8ADCD,0.906,1.0,0.957,1.0,0.983,1.0
245,#9A50F832,0.75,0.833,0.69,0.943,0.517,0.733
155,#983206AC,0.938,1.0,0.81,0.929,0.817,0.967
28,#8A58D002,0.906,1.0,0.957,0.957,0.933,0.967
164,#9A956966,0.875,1.0,0.973,0.929,0.833,0.792
125,#97C8E1BE,0.75,0.972,0.74,0.829,0.717,0.733
29,#8DCE7330,0.906,0.889,0.867,0.971,0.85
83,#913D9438,0.531,0.917,0.667,0.871,0.783,0.85
114,#9A56CB07,0.813,0.987,1.0,0.8,0.5
118,#8E7B8277,1.0,1.0,0.99,1.0,1.0
183,#95B34563,0.906,1.0,0.89,0.986,0.983,0.983
18,#85011195,0.938,1.0,0.94,0.929,0.917,0.833
9,#888F2C2B,1.0,0.917,0.907,0.943,0.85,0.967
252,#8E78BD4B,0.781,0.944,0.957,1.0,0.9,0.9
177,#9A265DE1,0.844,1.0,0.93,0.786,0.8,0.75
98,#982A63D1,0.844,0.944,0.99,1.0,0.867,0.817
54,#8AC91152,0.969,1.0,1.0,1.0,0.9,0.967
211,#8FAA5772,0.656,0.972,0.777,0.843,0.683,0.7
145,#8E0E3FBF,0.938,1.0,0.971,0.533,0.85
163,#8FAB3410,0.688,0.889,0.773,0.971,0.867,0.9
206,#9A21C47F,0.906,1.0,0.957,0.971,0.917,0.733
202,#8A63EC05,0.969,1.0,0.793,0.971,0.767
151,#8DFC2958,0.969,0.889,0.823,1.0,0.533,0.792
257,#973679D8,0.75,0.861,0.567,0.771,0.967,0.708
236,#21FB70AA,0.813,0.833,0.87,0.771,0.567,0.675
190,#97C4D88B,0.969,0.778,0.957,0.971,0.867,1.0
14,#9B82F3EA,0.969,0.944,0.873,0.914,0.817,0.65
57,#963D00AB,0.938,1.0,0.823,1.0,0.983,1.0
55,#97D7E1A1,0.875,0.833,0.76,0.871,0.817,0.808
191,#96C6C191,1.0,1.0,0.9,1.0,0.633
121,#8E92D7CB,0.844,1.0,0.89,0.871,0.933,0.933
50,#8E757C87,0.969,1.0,0.717,0.957,0.667
85,#9B93E0E8,0.969,1.0,0.923,1.0,0.867,0.933
230,#88F92B5A,0.813,0.917,0.943,0.85,0.867
4,#9A84F3ED,0.969,1.0,1.0,1.0,1.0,1.0
93,#916EE718,0.844,0.972,0.807,0.871,0.733,0.908
101,#982D5FEA,0.938,1.0,0.67,0.957
