qid,FA14a_ID,FA14b_ID,FA15_ID,FA16_ID,cans,VoteType,FA14_Correct,FA15_Correct,Topic
,,,,,,,,,
101,,,l11q8,l10q5,1,ind,0,0,-1
,,,,,,,,,
102,,,l11q9,l10q6,1,Group,0,0,-1
,,,,,,,,,
103,,,l11q10,l10q7,4,ind,0,0,-1
,,,,,,,,,
104,,,l11q11,l10q8,4,Group,0,0,-1
,,,,,,,,,
105,,,l12q1,l11q1,3,ind,0,0,-1
,,,,,,,,,
106,,,l12q2,l11q2,3,Group,0,0,-1
,,,,,,,,,
107,,,l12q3,l11q3,5,ind,0,0,-1
,,,,,,,,,
108,,,l12q4,l11q4,5,Group,0,0,-1
,,,,,,,,,
109,,,l12q5,l11q7,3,ind,0,0,-1
,,,,,,,,,
110,,,l12q6,l11q8,3,Group,0,0,-1
,,,,,,,,,
111,l08q1,l08q3,l12q7,l12q1,4,ind,13.636,10.14,8
,,,,,,,,,
112,l08q2,l08q5,l14q2,l12q2,3,ind,48.485,56.184,8
,,,,,,,,,
113,l08q4,l08q7,l14q3,l12q4,2,ind,74.242,74.205,8
,,,,,,,,,
114,l09q1,l08q9,l14q4,l12q6,2,ind,10.256,35.336,8
,,,,,,,,,
115,l09q2,l08q10,l14q5,,2,Group,14.103,32.862,8
,,,,,,,,,
116,l09q3,l08q11,l14q6,l12q8,3,ind,21.795,33.922,8
,,,,,,,,,
117,l09q4,l08q12,l14q7,l12q9,3,Group,16.667,34.276,8
,,,,,,,,,
118,l09q5,l09q1,l13q1,l12q10,4,ind,19.231,14.726,9
,,,,,,,,,
119,l09q7,l09q2,l13q2,l12q11,4,Group,23.077,20.548,9
,,,,,,,,,
120,l09q8,l09q3,l13q3,l13q1,2,ind,60.256,56.164,9
,,,,,,,,,
121,l09q9,l09q4,l13q4,l13q2,2,Group,64.103,53.425,9
,,,,,,,,,
122,l09q10,l09q5,l13q5,l13q3,3,ind,28.205,32.534,9
,,,,,,,,,
123,l09q11,l09q6,l13q6,l13q4,3,Group,37.179,43.151,9
,,,,,,,,,
124,l09q12,l09q7,l13q7,l13q5,5,ind,6.41,9.247,9
,,,,,,,,,
125,l09q13,l09q8,l13q8,l13q6,5,Group,10.256,17.808,9
,,,,,,,,,
126,l10q3,l10q4,l14q8,l14q3,4,ind,32.653,44.523,11
,,,,,,,,,
127,l10q4,l10q5,l14q9,l14q4,4,Group,61.224,61.484,11
,,,,,,,,,
128,l10q5,l10q6,l14q10,l14q5,2,ind,28.571,26.855,11
,,,,,,,,,
129,l10q6,l10q7,l14q11,l14q6,2,Group,30.612,32.509,11
,,,,,,,,,
130,l10q7,l10q8,l14q12,l14q7,2,ind,32.653,43.11,11
,,,,,,,,,
131,l11q1,l11q1,l15q1,l15q2,1,ind,35.211,53.082,11
,,,,,,,,,
132,l11q3,l11q3,l15q2,l15q3,1,ind,49.296,57.192,11
,,,,,,,,,
133,l11q4,l11q4,l15q3,l15q4,1,Group,40.845,63.014,11
,,,,,,,,,
134,l11q5,l11q5,l15q4,,5,ind,16.901,14.384,11
,,,,,,,,,
135,l11q6,l11q6,l15q5,,5,Group,30.986,28.082,11
,,,,,,,,,
136,l11q7,l11q7,l15q6,l15q5,2,ind,21.127,29.452,11
,,,,,,,,,
137,l11q8,l11q8,l15q7,l15q6,2,Group,32.394,34.589,11
,,,,,,,,,
138,l11q9,l11q9,l15q8,l15q7,5,ind,32.394,40.068,11
,,,,,,,,,
139,l11q10,l11q10,l15q9,,5,Group,45.07,42.123,11
,,,,,,,,,
140,l12q3,l12q2,l16q1,l16q1,2,ind,26.786,19.588,11
,,,,,,,,,
141,l12q4,l12q3,l16q2,l16q2,2,Group,5.357,26.46,11
,,,,,,,,,
142,l12q7,l12q6,l16q3,l16q6,4,ind,10.714,6.529,11
,,,,,,,,,
143,l12q8,l12q7,l16q4,l16q7,4,Group,23.214,17.182,11
,,,,,,,,,
144,l12q9,l12q8,l16q5,l16q8,3,ind,28.571,41.924,11
,,,,,,,,,
145,l12q10,l12q9,l16q6,l16q9,3,Group,57.143,53.608,11
,,,,,,,,,
146,l13q3,l13q3,l16q7,,1,ind,20.635,21.649,12
,,,,,,,,,
147,l13q4,l13q4,l16q8,,1,Group,25.397,19.244,12
